employee_id,age,salary,tenure_years,performance_score,projects_completed,satisfaction_rating,department,region,employment_status,education_level,job_level,gender,hire_date,phone_extension
EMP01827,53.8,111981.55,5.15,86.73,5.0,5.0,Engineering,East,Active,Master,Senior,Female,2011-02-06,2787
EMP01675,23.9,56213.87,1.86,55.13,6.0,5.0,HR,East,Active,Associate,Senior,Male,2016-02-09,8841
EMP01616,39.3,68867.74,1.76,74.35,6.0,2.0,Engineering,South,Active,Bachelor,Manager,Male,2015-06-22,7482
EMP01408,36.6,46238.02,2.4,67.12,3.0,4.0,Engineering,Central,Active,Bachelor,Lead,Female,2009-07-20,8334
EMP01438,24.2,51580.67,2.97,75.82,8.0,3.0,Engineering,Central,Active,Bachelor,Manager,Female,2021-02-01,1332
EMP01706,44.1,92425.46,4.91,67.21,10.0,2.0,Engineering,West,Active,Bachelor,,Female,2023-07-15,5146
EMP01692,49.6,51147.86,1.06,66.72,8.0,5.0,Finance,South,Inactive,Master,Director,Prefer not to say,2016-10-12,5829
EMP01027,26.5,86252.34,0.85,53.93,8.0,3.0,Sales,South,Terminated,Master,Manager,Female,2015-08-24,7631
EMP01709,21.0,51989.89,1.52,57.77,9.0,5.0,Product,Central,Active,Associate,Junior,Female,2019-02-10,9892
EMP01164,29.8,109281.51,4.37,34.12,,3.0,Marketing,East,On Leave,Master,Mid,Female,2009-04-16,7187
EMP01361,43.2,104174.04,1.88,87.09,7.0,5.0,Engineering,South,Active,Master,Lead,Male,2014-09-06,8968
EMP01035,46.2,757394.550597785,0.22,82.45,6.0,5.0,Operations,South,Active,Bachelor,Senior,Female,2006-09-10,8093
EMP01047,44.1,74659.24,2.26,93.88,6.0,4.0,Engineering,East,Active,Bachelor,Lead,Female,2006-06-08,9089
EMP01870,58.1,38151.8,1.79,67.44,10.0,4.0,Finance,East,,Bachelor,Director,Female,2021-01-12,1537
EMP01966,52.4,86870.86,1.41,64.42,4.0,5.0,HR,East,Active,High School,,Female,2021-03-05,7706
EMP01245,,53030.44,3.37,76.0,4.0,4.0,Sales,East,Active,Master,Junior,Female,2019-08-20,6340
EMP01322,44.0,100769.73,1.35,80.68,9.0,5.0,Engineering,West,Active,Bachelor,Mid,Female,2010-12-26,4302
EMP01558,33.7,79187.95,1.04,43.91,7.0,5.0,HR,Central,Active,Bachelor,Mid,Female,2016-06-12,7879
EMP01937,,236831.19,5.2,84.68,7.0,3.0,engineering,East,Active,Bachelor,Lead,Male,2010-03-06,1309
EMP01843,26.8,30571.84,0.87,64.83,5.0,3.0,Engineering,West,On Leave,Master,Mid,Female,2011-08-01,3881
EMP01940,32.4,30263.63,0.36,59.75,7.0,3.0,Product,Central,Active,Bachelor,Mid,Female,2011-11-15,6121
EMP01348,23.9,86248.65,0.81,77.89,8.0,4.0,Engineering,North,Active,Bachelor,Mid,Male,2013-02-16,9019
EMP01978,21.0,120848.92,8.49,77.34,,5.0,HR,West,Active,Bachelor,Director,Female,2023-07-16,8423
EMP01412,26.8,48872.31,6.61,75.44,8.0,3.0,Marketing,Central,Active,Bachelor,Mid,Male,2021-04-01,2594
EMP01340,32.4,43952.96,0.51,33.49,1.0,1.0,Engineering,Central,Inactive,,Mid,Female,2016-07-27,1207
EMP01668,53.0,70447.84,2.02,83.42,7.0,3.0,Finance,North,Active,Master,Mid,Male,2006-11-15,8439
EMP01300,44.3,47322.51,2.97,65.67,2.0,4.0,Product,Central,Active,Bachelor,Mid,Female,2019-02-22,8047
EMP01501,47.3,116227.27,3.19,54.51,6.0,4.0,Engineering,North,On Leave,PhD,Senior,Non-binary,2017-10-03,1560
EMP01320,36.7,63906.68,8.05,70.43,5.0,2.0,Sales,North,,Bachelor,Senior,Male,2009-11-26,5584
EMP01488,27.2,44177.56,1.95,84.36,6.0,,Sales,Central,Terminated,Bachelor,Mid,Male,2010-09-04,7905
EMP01909,44.5,60565.33,15.01,77.32,,3.0,Operations,West,Inactive,Associate,Mid,Male,2022-09-01,6078
EMP01996,35.2,55582.6,,67.56,7.0,3.0,Sales,North,Active,Bachelor,Mid,Male,2021-09-26,1226
EMP01933,23.5,105463.19,0.97,41.68,4.0,3.0,Operations,Central,On Leave,Master,Mid,Male,2021-03-08,8116
EMP01197,29.2,181609.05,3.99,85.17,7.0,5.0,Finance,West,,Master,Lead,Male,2023-10-18,4102
EMP01598,28.2,549901.9567540376,2.3,90.78,7.0,3.0,Sales,Central,Inactive,Master,Mid,Male,2020-01-06,1440
EMP01783,41.8,,2.69,90.08,4.0,3.0,Marketing,North,Pending,Bachelor,Junior,Male,2019-10-20,5197
EMP01743,31.8,75219.68,4.16,176.41190482984902,5.0,4.0,Engineering,East,Active,Bachelor,Mid,Male,2010-08-17,7096
EMP01938,45.1,19299.49,5.54,89.52,5.0,5.0,Marketing,West,Active,Bachelor,Manager,Female,2005-09-24,9976
EMP01524,43.7,75618.62,0.9,74.66,7.0,5.0,Marketing,West,On Leave,Bachelor,Junior,Female,2009-07-19,8299
EMP01100,35.7,74331.33,18.58,87.38,4.0,4.0,Product,North,Terminated,Master,Junior,Male,2009-11-11,1005
EMP01390,32.2,54368.31,1.71,68.18,4.0,3.0,Finance,North,Active,Master,Junior,Male,2010-06-14,3173
EMP01793,40.7,32063.81,0.05,86.96,6.0,5.0,Marketing,West,Active,Bachelor,Junior,Non-binary,2019-07-23,6039
EMP01748,30.4,62896.85,1.01,83.0,8.0,,Engineering,West,Active,Bachelor,Lead,Male,2007-11-01,3536
EMP01147,25.6,112622.67,1.58,,5.0,,Product,Central,Active,PhD,Junior,Prefer not to say,2020-10-26,7959
EMP01432,21.0,,0.7,84.14,6.0,5.0,Engineering,East,Active,Bachelor,Mid,Non-binary,2021-04-26,7705
EMP01366,34.0,73656.38,1.15,86.61,2.0,2.0,Operations,South,Pending,Bachelor,Senior,Male,2016-06-09,6257
EMP01882,32.7,62554.23,10.5,79.01,5.0,4.0,Engineering,South,Active,Master,Junior,Female,2011-04-16,4030
EMP01807,40.2,63890.12,0.44,89.55,8.0,3.0,Marketing,East,Active,PhD,Mid,Male,2022-10-08,4543
EMP01362,53.3,73461.67,0.91,91.69,4.0,4.0,Legal,Central,Active,Bachelor,Senior,Female,2007-12-21,2622
EMP01667,35.5,171330.25,2.9,70.07,10.0,2.0,Finance,East,Active,Master,Senior,Female,2019-08-26,8239
EMP01286,21.0,80404.9,5.03,37.25,5.0,4.0,Finance,West,,Master,Junior,Male,2005-05-06,7876
EMP01959,43.7,62074.36,5.02,33.9,4.0,1.0,Operations,North,Inactive,Master,Senior,Female,2023-03-06,2705
EMP01802,32.8,103725.87,1.24,40.43,4.0,5.0,Operations,North,Active,Bachelor,Junior,Male,2010-02-01,6427
EMP01901,41.7,1291345.4734991298,2.18,76.57,5.0,3.0,Engineering,North,Active,Bachelor,Lead,Male,2017-10-23,5470
EMP01579,23.2,89505.09,0.68,,7.0,3.0,Operations,East,Active,Master,Senior,Male,2016-06-26,6515
EMP01921,48.7,152089.91,0.8,86.63,2.0,5.0,Engineering,North,Pending,Bachelor,Junior,Male,2005-02-01,7132
EMP01186,45.1,70443.2,2.36,33.93,4.0,5.0,Product,East,Active,Bachelor,Mid,Male,2005-01-08,4046
EMP01481,36.7,185778.9,6.17,72.78,5.0,5.0,Sales,East,Active,PhD,Lead,Female,2008-12-16,9825
EMP01111,21.0,148082.59,0.01,67.62,6.0,4.0,HR,East,,Master,Mid,Male,2010-08-18,6852
EMP01650,45.0,108085.85,5.37,61.64,3.0,5.0,Sales,West,Active,Master,Manager,Female,2010-08-22,4594
EMP01058,34.9,97347.9,1.67,88.98,8.0,3.0,,South,Pending,Bachelor,Lead,Female,2022-10-16,3224
EMP01493,38.8,36820.6,6.04,67.68,6.0,3.0,Marketing,Central,Active,Master,Senior,Male,2019-07-13,7353
EMP01050,21.0,32575.59,,89.72,5.0,4.0,Engineering,North,Active,Master,Senior,Male,2008-09-22,7991
EMP01631,21.1,44025.87,1.04,82.86,11.0,5.0,Finance,South,Active,Master,Lead,Female,2011-08-21,2591
EMP01621,30.1,52410.27,4.21,47.77,13.0,3.0,Engineering,East,Active,Bachelor,Manager,Male,2015-08-19,6042
EMP01835,37.7,79906.25,3.75,87.57,9.0,5.0,Operations,Central,Active,Master,Junior,Prefer not to say,2015-12-15,4390
EMP01044,35.0,39494.98,6.94,75.25,,2.0,Legal,West,Active,Bachelor,Lead,Male,2017-04-26,3998
EMP01541,46.4,29554.18,15.02,80.91,4.0,,Engineering,West,Active,Bachelor,Senior,Female,2012-08-18,6605
EMP01064,26.0,131615.7,1.12,91.72,7.0,2.0,Marketing,,Active,Bachelor,Lead,Male,2017-12-16,7671
EMP01570,34.5,131342.06,6.1,77.11,5.0,4.0,Engineering,East,Active,Bachelor,Lead,Female,2007-11-04,6786
EMP01772,32.4,35203.04,5.13,69.08,8.0,4.0,Engineering,,Active,Bachelor,Junior,Female,2013-07-17,9320
EMP01039,24.7,218343.53,6.49,96.37,1.0,3.0,Legal,East,Active,High School,Lead,Male,2006-03-21,4105
EMP01472,21.0,95264.8,1.89,45.31,7.0,4.0,Engineering,North,Inactive,Bachelor,Mid,,2018-01-23,6350
EMP01655,63.7,40419.59,7.29,85.82,10.0,5.0,Sales,West,Active,Bachelor,Lead,Male,2010-09-12,9643
EMP01878,,194577.78,2.88,68.91,4.0,4.0,Engineering,South,Inactive,Master,Junior,Female,2010-01-21,4370
EMP01998,44.4,53905.54,0.86,68.58,6.0,5.0,Engineering,Central,Active,Master,Manager,Female,2009-09-14,9499
EMP01565,50.0,103352.93,27.92,93.08,5.0,3.0,Sales,Central,Active,PhD,Mid,Female,2012-09-25,4076
EMP01221,61.1,51916.76,0.49,62.64,6.0,4.0,HR,East,Active,Bachelor,Lead,Male,2010-08-05,3700
EMP01757,42.9,86034.79,3.42,82.57,6.0,5.0,Sales,East,Active,Bachelor,Mid,Male,2008-05-25,7174
EMP01784,44.1,49036.77,1.03,77.96,12.0,4.0,Legal,East,Pending,High School,Junior,Prefer not to say,2020-08-10,7917
EMP01165,47.6,74359.3,1.12,44.0,9.0,4.0,Sales,South,Active,Bachelor,Senior,Female,2018-04-20,8608
EMP01171,29.1,109978.09,15.7,62.66,10.0,1.0,Engineering,North,Inactive,Bachelor,Lead,Male,2015-08-04,2900
EMP01217,30.3,136610.67,1.65,93.38,7.0,2.0,Legal,Central,Terminated,Master,Junior,Male,2019-09-27,5200
EMP01986,26.4,116682.74,0.28,86.37,8.0,4.0,Sales,North,Active,Bachelor,Mid,Male,2016-04-22,3899
EMP01450,27.4,51825.69,8.81,31.45,6.0,4.0,Product,South,Active,PhD,Senior,Female,2015-11-15,4369
EMP01703,31.0,77504.13,1.45,77.66,7.0,3.0,Marketing,East,Active,Associate,Senior,Male,2018-01-22,7503
EMP01888,34.4,,5.0,92.76,4.0,4.0,Marketing,East,Active,Bachelor,Senior,Male,2013-04-03,3746
EMP01568,27.9,52757.13,17.66,90.08,2.0,3.0,Engineering,North,On Leave,High School,Mid,Female,2008-01-14,5383
EMP01446,44.7,52488.42,3.93,90.18,9.0,2.0,Engineering,North,Active,Bachelor,,Female,2007-01-07,6140
EMP01890,49.1,46466.92,2.71,,7.0,3.0,Finance,North,Active,Bachelor,Senior,Female,2022-06-27,6139
EMP01829,33.8,189986.7,5.31,74.76,4.0,5.0,Engineering,South,On Leave,Master,Director,Male,2018-09-20,3179
EMP01335,47.8,108725.83,7.67,63.59,1.0,5.0,Operations,East,Active,Bachelor,,Female,2022-09-27,4409
EMP01062,36.1,110793.81,0.32,70.51,7.0,5.0,Engineering,South,Active,Master,Manager,Male,2012-07-13,1702
EMP01604,51.6,83335.79,0.07,75.28,9.0,3.0,,North,Active,Bachelor,Lead,Male,2022-03-01,7473
EMP01378,39.8,106075.66,0.47,58.67,13.0,5.0,Finance,East,Active,Bachelor,Mid,Male,2010-05-07,8204
EMP01934,21.0,65729.55,3.71,82.74,,4.0,Engineering,West,Inactive,Bachelor,Mid,Male,2011-03-15,6429
EMP01929,53.7,78900.18,2.98,89.56,8.0,4.0,Sales,North,Active,Master,Senior,Male,2021-02-24,4384
EMP01737,40.6,244024.6,3.38,82.78,6.0,4.0,Finance,West,Active,Master,Mid,Male,2011-07-15,3946
EMP01578,45.7,112850.14,8.37,59.35,2.0,4.0,HR,North,Terminated,Bachelor,Mid,Female,2015-12-02,9963
EMP01740,48.1,113933.04,2.18,88.81,5.0,3.0,Engineering,Central,Pending,Master,Senior,Male,2005-04-03,8716
EMP01678,55.5,86896.45,3.99,65.3,5.0,4.0,Engineering,West,Inactive,Master,Mid,Female,2014-11-15,3301
EMP01529,40.6,57839.4,12.2,79.36,4.0,1.0,Finance,Central,Inactive,High School,Senior,Male,2023-05-13,8518
EMP01592,33.2,338058.25,12.73,82.27,4.0,5.0,Operations,East,On Leave,High School,Lead,Male,2021-10-12,5604
EMP01424,47.7,111203.65,,92.29,5.0,5.0,Marketing,West,Pending,PhD,Senior,Female,2009-06-21,4734
EMP01768,55.7,40040.77,5.03,85.47,6.0,5.0,Engineering,East,Active,High School,Senior,Non-binary,2016-05-22,8169
EMP01110,37.3,63241.27,3.79,62.42,2.0,4.0,Product,South,Active,,Lead,Female,2021-02-14,9785
EMP01233,38.5,40427.63,12.49,62.78,10.0,3.0,HR,Central,Active,Master,Lead,Female,2023-08-27,7621
EMP01514,28.9,95663.22,8.02,75.8,8.0,5.0,Sales,Central,Active,Bachelor,Manager,Male,2005-08-03,7102
EMP01734,21.0,60920.93,2.72,91.23,5.0,3.0,Finance,West,Active,Master,Mid,Male,2014-11-02,9978
EMP01963,40.0,48038.81,9.12,85.29,3.0,5.0,Engineering,North,Pending,Master,Mid,Female,2016-11-23,3299
EMP01815,48.3,82014.97,0.44,64.83,5.0,4.0,Marketing,East,Active,Bachelor,Senior,Male,2014-10-11,9145
EMP01149,43.2,,2.55,68.33,3.0,1.0,,West,Inactive,Bachelor,,Non-binary,2013-06-05,9955
EMP01443,21.0,80480.46,6.29,84.43,6.0,3.0,Operations,West,Inactive,Associate,Senior,Male,2014-03-16,4957
EMP01572,,67495.38,0.58,56.53,5.0,4.0,Engineering,North,Active,High School,Lead,Male,2010-07-27,8785
EMP01625,53.9,30793.26,3.96,94.71,6.0,3.0,,North,Active,Master,Senior,Male,2006-03-05,6143
EMP01278,32.0,32474.89,1.89,84.33,3.0,4.0,Engineering,West,Active,Bachelor,Senior,Female,2012-01-07,8271
EMP01548,36.0,200791.95,3.2,81.19,6.0,3.0,Engineering,South,Active,Bachelor,Senior,Male,2019-10-08,5574
EMP01448,28.6,143356.4,0.16,50.42,8.0,3.0,Finance,East,Active,Bachelor,Senior,Female,2012-11-15,6697
EMP01024,23.8,64965.76,1.76,57.19,3.0,1.0,Sales,West,Active,Bachelor,Senior,Male,2014-04-09,6764
EMP01337,,82953.06,3.85,86.26,13.0,2.0,Marketing,South,Active,Bachelor,Director,Male,2012-03-19,3932
EMP01129,39.0,45429.21,2.73,78.62,3.0,4.0,Operations,Central,Active,Associate,Junior,Male,2020-09-11,4264
EMP01626,32.9,65156.34,1.39,37.45,4.0,3.0,Legal,Central,Pending,Bachelor,Manager,Male,2005-02-05,4178
EMP01925,50.0,164915.78,2.03,88.14,5.0,3.0,Legal,West,Active,PhD,Mid,Female,2019-04-21,5512
EMP01601,45.6,48838.89,3.14,57.95,5.0,4.0,Engineering,Central,Inactive,Bachelor,Senior,Male,2012-06-23,5100
EMP01865,31.9,70675.99,0.05,27.79,9.0,5.0,Engineering,South,Active,Bachelor,Junior,Male,2023-08-20,
EMP01808,33.2,98416.46,0.48,79.06,1.0,3.0,Engineering,South,Pending,Master,,Male,2014-07-14,1966
EMP01624,51.5,51408.86,6.47,42.79,9.0,4.0,,South,Active,Bachelor,Mid,Non-binary,2016-01-08,3139
EMP01859,32.5,24781.31,1.12,88.47,6.0,1.0,Marketing,North,Active,Bachelor,Junior,Female,2006-03-04,7482
EMP01969,37.6,54341.77,,65.13,7.0,4.0,Finance,Central,Active,Associate,Junior,Male,2013-11-05,9626
EMP01818,46.9,28989.36,0.01,83.25,3.0,4.0,Operations,North,Active,Bachelor,Junior,Female,2021-02-18,3578
EMP01260,45.7,48709.82,3.51,79.88,9.0,4.0,Finance,East,Terminated,Bachelor,Senior,Male,2020-10-06,7714
EMP01563,46.7,127928.76,1.6,73.51,7.0,5.0,Operations,West,Active,Master,Junior,Male,2011-11-08,6617
EMP01385,30.4,77101.25,9.38,62.1,8.0,5.0,Engineering,East,On Leave,Bachelor,Mid,Female,2022-01-15,1824
EMP01505,31.5,35918.1,9.15,68.55,7.0,5.0,Engineering,East,On Leave,Bachelor,Manager,Male,2005-01-27,9819
EMP01588,29.5,142263.12,1.1,77.86,5.0,5.0,Sales,East,Active,Bachelor,Senior,Female,2006-08-04,4241
EMP01135,28.8,103271.67,4.45,39.27,5.0,5.0,Finance,,Inactive,Master,Senior,Male,2022-07-19,8814
EMP01721,41.1,110698.43,1.49,144.3660319031074,5.0,3.0,,East,Active,Bachelor,Lead,Non-binary,2007-08-19,2415
EMP01016,32.4,148226.59,3.92,70.95,5.0,4.0,Operations,North,Terminated,Master,Manager,Male,2008-06-24,1758
EMP01309,43.5,148525.24,3.84,89.48,5.0,5.0,Finance,South,Active,Bachelor,Director,Male,2020-11-20,5590
EMP01160,44.6,77084.28,0.62,78.81,4.0,2.0,Finance,South,Active,Bachelor,Senior,Female,2015-04-13,8473
EMP01483,21.9,,9.47,64.79,8.0,4.0,Marketing,Central,Pending,Master,Senior,Female,2009-03-19,7192
EMP01418,39.2,83265.27,3.32,70.22,7.0,3.0,Operations,North,Active,Bachelor,Lead,Female,2018-03-02,2351
EMP01761,32.2,106024.95,,32.23,3.0,2.0,Engineering,North,Pending,Bachelor,Senior,Male,2017-07-21,7388
EMP01049,41.4,59166.56,3.08,76.39,5.0,2.0,Sales,West,Inactive,Master,Junior,Female,2017-02-05,6864
EMP01271,52.4,168073.82,1.5,70.51,7.0,5.0,Product,East,Active,Master,Senior,Female,2011-02-22,4945
EMP01075,21.0,92483.54,9.05,69.9,6.0,3.0,Engineering,North,Active,Master,Junior,Male,2005-12-11,7608
EMP01173,37.2,125961.56,3.18,83.66,3.0,3.0,Sales,South,Active,Bachelor,Mid,Male,2006-07-19,9289
EMP01257,50.7,70144.16,0.52,86.72,7.0,5.0,Engineering,East,Active,,Senior,Male,2022-05-07,9944
EMP01610,53.0,81303.09,5.63,57.06,2.0,,Engineering,South,Active,High School,Junior,Male,2020-11-02,2759
EMP01527,21.7,102269.88,2.84,97.59,4.0,5.0,Finance,North,Active,Master,Lead,Female,2014-02-14,8196
EMP01285,59.3,85671.04,7.45,65.64,9.0,5.0,Operations,North,Inactive,Master,Senior,Male,2005-11-17,1901
EMP01858,42.7,90825.4,1.09,74.58,3.0,5.0,Operations,East,Active,Master,Senior,Female,2012-10-27,5171
EMP01494,29.4,74274.46,0.13,77.83,6.0,3.0,engineering,East,Active,Bachelor,Mid,Female,2011-08-18,3751
EMP01636,21.5,41386.76,7.59,63.47,4.0,4.0,Operations,East,Active,Bachelor,Junior,Non-binary,2006-03-03,9430
